Date,Not indexed,Indexed,Impressions
2026-05-19,,,29
2026-05-20,,,42
2026-05-21,,,28
2026-05-22,33,15,27
2026-05-23,33,15,28
2026-05-24,33,15,20
2026-05-25,33,15,32
2026-05-26,39,12,51
2026-05-27,39,12,38
2026-05-28,39,12,35
2026-05-29,39,12,37
2026-05-30,39,15,33
2026-05-31,39,15,22
2026-06-01,39,15,27
2026-06-02,43,14,26
2026-06-03,43,14,36
2026-06-04,43,14,21
2026-06-05,43,14,39
2026-06-06,82,12,18
2026-06-07,82,12,19
2026-06-08,82,12,24
2026-06-09,124,1,26
2026-06-10,124,1,17
2026-06-11,124,1,44
2026-06-12,124,1,35
2026-06-13,123,21,25
2026-06-14,123,21,19
2026-06-15,123,21,45
2026-06-16,123,21,46
2026-06-17,123,21,21
2026-06-18,123,21,34
2026-06-19,123,21,17
2026-06-20,123,21,21
2026-06-21,123,21,24
2026-06-22,123,21,19
2026-06-23,123,21,36
2026-06-24,123,21,28
2026-06-25,123,21,26
2026-06-26,123,21,28
2026-06-27,123,21,36
2026-06-28,123,21,26
2026-06-29,123,21,35
2026-06-30,123,21,26
2026-07-01,156,22,44
2026-07-02,156,22,28
2026-07-03,156,22,52
2026-07-04,156,22,31
2026-07-05,156,22,31
2026-07-06,156,22,61
2026-07-07,156,22,26
2026-07-08,156,22,37
2026-07-09,156,22,10
2026-07-10,156,22,10
2026-07-11,156,22,10
2026-07-12,156,22,10
2026-07-13,156,22,10
2026-07-14,156,22,10
2026-07-15,156,22,10
2026-07-16,156,22,10
2026-07-17,156,22,10
2026-07-18,156,22,10
2026-07-19,156,22,10
2026-07-20,156,22,10
2026-07-21,156,22,10
2026-07-22,156,22,10
2026-07-23,156,22,10
2026-07-24,156,22,10
2026-07-25,156,22,10
2026-07-26,156,22,10
2026-07-27,156,22,10
2026-07-28,156,22,10
2026-07-29,156,22,10
2026-07-30,156,22,10
2026-07-31,156,22,10
2026-08-01,156,22,10
2026-08-02,156,22,10
2026-08-03,156,22,10
2026-08-04,156,22,10
2026-08-05,156,22,10
2026-08-06,156,22,10
2026-08-07,156,22,10
2026-08-08,156,22,10
2026-08-09,156,22,11
2026-08-10,156,22,7
2026-08-11,161,27,11
2026-08-12,161,27,14
2026-08-13,161,27,11
2026-08-14,161,27,3
