category,severity,file,line,value,classification,disposition
tailwind-arbitrary-value,medium,site/app/(site)/products/[category]/loading.tsx,4,min-h-[25rem],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/about/AboutPageView.tsx,208,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/career/CareerPageView.tsx,227,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/clients/ClientsHero.tsx,81,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/contact/ContactPageView.tsx,194,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/contact/CustomerQueryForm.tsx,407,accent-[var(--color-primary)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/downloads/DownloadsPageView.tsx,236,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/downloads/DownloadsPageView.tsx,334,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/planning/PlanningPageView.tsx,228,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/service/ServicePageView.tsx,201,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/shared/ContactTeaser.tsx,492,accent-[var(--color-primary)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/showrooms/ShowroomsPageView.tsx,172,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/EditorialRoute.tsx,12,bg-[var(--surface-page)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/LanguageSwitcher.tsx,66,max-w-[6.75rem],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/LanguageSwitcher.tsx,66,sm:max-w-[8.5rem],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/SiteErrorBoundary.tsx,64,from-[var(--color-ocean-boat-blue-900)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/SiteErrorBoundary.tsx,64,to-[var(--color-ocean-boat-blue-850)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/SiteErrorBoundary.tsx,65,bg-[color:var(--overlay-panel-08)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/SiteErrorBoundary.tsx,104,active:scale-[0.98],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/SiteErrorBoundary.tsx,104,text-[var(--color-ocean-boat-blue-900)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/SiteErrorBoundary.tsx,110,active:scale-[0.98],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/SiteErrorBoundary.tsx,110,bg-[color:var(--overlay-panel-10)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/site/SiteErrorBoundary.tsx,110,hover:bg-[color:var(--overlay-panel-12)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/solutions/SolutionsCategoryPageView.tsx,185,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/solutions/SolutionsPageView.tsx,193,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/sustainability/SustainabilityPageView.tsx,248,text-[color:var(--color-bronze-300)],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/ui/ViewportControls.tsx,51,z-[12],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/ui/ViewportControls.tsx,56,text-[0.65rem],actionable-token-bypass,production-remediation
tailwind-arbitrary-value,medium,site/components/ui/ViewportControls.tsx,68,"rounded-[min(var(--radius-md),10px)]",actionable-token-bypass,production-remediation
